gender;age;Investment_Avenues;Mutual_Funds;Equity_Market;Debentures;Government_Bonds;Fixed_Deposits;PPF;Gold;Stock_Marktet;Factor;Objective;Purpose;Duration;Invest_Monitor;Expect;Avenue;What are your savings objectives?;Reason_Equity;Reason_Mutual;Reason_Bonds;Reason_FD;Source
Male;29;Yes;2;4;7;5;3;1;6;Yes;Risk;Growth;Wealth Creation;Less than 1 year;Weekly;20%-30%;Public Provident Fund;Health Care;Dividend;Fund Diversification;Assured Returns;Fixed Returns;Newspapers and Magazines
Male;28;Yes;2;3;6;5;1;4;7;Yes;Returns;Capital Appreciation;Wealth Creation;Less than 1 year;Weekly;30%-40%;Public Provident Fund;Retirement Plan;Capital Appreciation;Better Returns;Assured Returns;Risk Free;Television
Female;28;Yes;2;3;7;5;4;1;6;Yes;Returns;Capital Appreciation;Wealth Creation;3-5 years;Daily;10%-20%;Mutual Fund;Health Care;Dividend;Better Returns;Assured Returns;Risk Free;Financial Consultants
Male;19;Yes;2;3;7;4;6;1;5;Yes;Risk;Capital Appreciation;Wealth Creation;More than 5 years;Monthly;10%-20%;Equity;Retirement Plan;Capital Appreciation;Better Returns;Assured Returns;Risk Free;Newspapers and Magazines
Male;32;Yes;2;4;7;5;3;1;6;Yes;Returns;Growth;Wealth Creation;More than 5 years;Weekly;10%-20%;Public Provident Fund;Retirement Plan;Capital Appreciation;Better Returns;Assured Returns;Fixed Returns;Financial Consultants
Male;31;Yes;2;4;7;5;3;1;6;Yes;Risk;Growth;Wealth Creation;Less than 1 year;Weekly;10%-20%;Mutual Fund;Health Care;Dividend;Fund Diversification;Assured Returns;Fixed Returns;Newspapers and Magazines
Male;27;Yes;3;2;7;4;5;1;6;Yes;Risk;Capital Appreciation;Wealth Creation;3-5 years;Daily;30%-40%;Mutual Fund;Retirement Plan;Capital Appreciation;Better Returns;Assured Returns;Risk Free;Newspapers and Magazines
Male;30;Yes;3;4;6;5;2;1;7;Yes;Returns;Capital Appreciation;Wealth Creation;Less than 1 year;Weekly;10%-20%;Public Provident Fund;Retirement Plan;Capital Appreciation;Better Returns;Assured Returns;Risk Free;Financial Consultants
Female;37;Yes;2;4;7;5;3;1;6;Yes;Risk;Growth;Savings for Future;3-5 years;Daily;10%-20%;Equity;Retirement Plan;Capital Appreciation;Better Returns;Assured Returns;Risk Free;Financial Consultants
Female;37;Yes;2;4;7;5;3;1;6;Yes;Risk;Growth;Savings for Future;More than 5 years;Monthly;30%-40%;Mutual Fund;Retirement Plan;Capital Appreciation;Better Returns;Assured Returns;Risk Free;Financial Consultants
